782,42	   
467,42	   
486,5	   
444,99	   
490,92	   
734,28	   
819,06	   
863,81	   
616,77	   
478,48	   
962,34	   
847,85	   
252,31	   
743,92	   
315,46	   
512,21	   
641,46	   
145,77	   
378,69	   
863,15	   
483,28	   
521,36	   
699,92	   
311,15	   
893,56	   
885,27	   
99,99	   
123,03	   
380,2	   
526,3	   
150,7	   
153,24	   
268,98	   
98,43	   
199,93	   
774,47	   
769,59	   
183,01	   
647,57	   
11,07	   
58,38	   
903,12	   
188,38	   
641,57	   
207,25	   
397,24	   
546,31	   
483,57	   
556,61	   
520,19	   
798,72	   
457,44	   
121,8	   
437,41	   
663,82	   
107,45	   
458,12	   
464,2	   
102,24	   
732,24	   
622,7	   
918,97	   
396,86	   
81,88	   
858,87	   
882,08	   
895,79	   
46,56	   
60,07	   
912,78	   
170,67	   
986,18	   
210,54	   
34,88	   
494,28	   
526,25	   
600,59	   
391,71	   
284,15	   
135,4	   
309,68	   
670,92	   
760,1	   
261,82	   
463,89	   
808,98	   
699,32	   
283,89	   
678,44	   
940,95	   
237,3	   
289,72	   
349,89	   
997,58	   
613,09	   
34,57	   
530,06	   
300,01	   
636,14	   
373,0	 
